x,y,c,t
0.015277777777777777,0.5088888888888888,efefef,1487223525173
0.01597222222222222,0.5688888888888889,25b0ef,1487223525298
0.016666666666666666,0.5888888888888889,1481c1,1487223525421
0.013888888888888888,0.6,f0f0f0,1487223525531
0.07569444444444444,0.7255555555555555,ffffff,1487223532170
0.18333333333333332,0.9444444444444444,ffffff,1487223532287
0.18541666666666667,0.9455555555555556,ffffff,1487223532501
0.2361111111111111,0.9844444444444445,ffffff,1487223532609
0.18333333333333332,0.93,ffffff,1487223532717
0.07430555555555556,0.9022222222222223,ffffff,1487223532825
0.09791666666666667,0.8666666666666667,ffffff,1487223533037
0.175,0.7566666666666667,bdebfb,1487223533143
0.22152777777777777,0.7344444444444445,ffffff,1487223533251
0.2520833333333333,0.7177777777777777,ffffff,1487223533362
0.28194444444444444,0.6888888888888889,ffffff,1487223533674
0.28888888888888886,0.68,ffffff,1487223533786
0.28055555555555556,0.6544444444444445,ffffff,1487223546584
0.07152777777777777,0.12555555555555556,ffffff,1487223546690
0.03888888888888889,0.06888888888888889,a1a1a1,1487223546797
0.034722222222222224,0.057777777777777775,a5a4a5,1487223547115
0.03125,0.04666666666666667,8f8f94,1487223547225
0.029861111111111113,0.044444444444444446,3c3c41,1487223547333
0.050694444444444445,0.1411111111111111,020206,1487223548151
0.06111111111111111,0.27666666666666667,040717,1487223548257
0.006944444444444444,0.39555555555555555,f0f0f0,1487223604984
0.030555555555555555,0.5033333333333333,f3f3f3,1487223605091
0.04236111111111111,0.5288888888888889,cdd3dc,1487223605198
0.025694444444444443,0.5111111111111111,425983,1487223605307
0.014583333333333334,0.4533333333333333,0f204c,1487223605413
0.015277777777777777,0.4288888888888889,0d1a42,1487223605518
0.009027777777777777,0.41888888888888887,0c183d,1487223605625
0.18055555555555555,0.0077777777777777776,d4d8da,1487223609516
0.3625,0.14444444444444443,eceded,1487223609624
0.46041666666666664,0.25555555555555554,7d7a75,1487223609730
0.6256944444444444,0.31444444444444447,ffffff,1487223609840
0.7423611111111111,0.2577777777777778,004097,1487223609951
0.7013888888888888,0.23222222222222222,ffffff,1487223610060
0.6861111111111111,0.25,ffffff,1487223610170
0.7548611111111111,0.46555555555555556,792a00,1487223610280
0.7736111111111111,0.3566666666666667,ffffff,1487223778421
0.8013888888888889,0.29,ffffff,1487223778533
0.8131944444444444,0.2688888888888889,ffffff,1487223778648
0.83125,0.25222222222222224,f2ffff,1487223778763
0.8097222222222222,0.2788888888888889,ffffff,1487223778876
0.7944444444444444,0.31,ffffff,1487223778986
0.7923611111111111,0.3188888888888889,ffffff,1487223779098
0.7902777777777777,0.32666666666666666,ffffff,1487223779212
0.7875,0.3322222222222222,ffffff,1487223779326
0.7819444444444444,0.3511111111111111,ffffff,1487223779440
0.7944444444444444,0.39111111111111113,ffffff,1487223902062
0.8069444444444445,0.42,ffffff,1487223902180
0.8159722222222222,0.45555555555555555,ffffff,1487223902290
0.8215277777777777,0.4622222222222222,ffffff,1487223902403
0.8201388888888889,0.45444444444444443,fffffb,1487223903160
0.7972222222222223,0.4211111111111111,ffffff,1487223903292
0.7902777777777777,0.41333333333333333,ffffff,1487223903413
0.7986111111111112,0.3988888888888889,ffffff,1487223903533
0.8006944444444445,0.39222222222222225,ffffff,1487223903645
0.7979166666666667,0.38555555555555554,ffffff,1487223903757
0.78125,0.37777777777777777,fff6cc,1487223903878
0.7645833333333333,0.3688888888888889,ffffff,1487223903996
0.7631944444444444,0.38,ffffff,1487223907182
0.7534722222222222,0.38222222222222224,ffffff,1487223907505
0.7375,0.3988888888888889,ffffff,1487223907619
0.7291666666666666,0.4088888888888889,ffffff,1487223907841
0.7145833333333333,0.4122222222222222,ffffff,1487223907952
0.7180555555555556,0.4911111111111111,ffffff,1487223909399
0.7263888888888889,0.5666666666666667,ffffff,1487223909510
0.7277777777777777,0.58,ffffff,1487223919600
0.7375,0.6044444444444445,ffffff,1487223919714
0.7131944444444445,0.5911111111111111,ffffff,1487223920762
0.6770833333333334,0.5533333333333333,ffffff,1487223920874
0.6763888888888889,0.5522222222222222,ffffff,1487223920986
0.66875,0.5588888888888889,ffffff,1487223921206
0.6354166666666666,0.5488888888888889,ffffff,1487223921333
0.6298611111111111,0.5444444444444444,ffffff,1487223921452
0.6270833333333333,0.5411111111111111,ccf2ff,1487223921865
0.5701388888888889,0.5377777777777778,004091,1487223922793
0.5527777777777778,0.5366666666666666,000000,1487223922904
0.6423611111111112,0.5488888888888889,ffffff,1487223924146
0.6847222222222222,0.5677777777777778,fffbfb,1487223924254
0.6979166666666666,0.56,ffffff,1487223925491
0.6965277777777777,0.5466666666666666,ffffff,1487223925607
0.69375,0.5344444444444445,ffffff,1487223925722
0.6923611111111111,0.5333333333333333,ffffff,1487223925836
0.7270833333333333,0.5277777777777778,c7d0d9,1487223926773
0.7631944444444444,0.53,ffffff,1487223926885
0.7819444444444444,0.5311111111111111,ffffff,1487223927093
0.7986111111111112,0.5322222222222223,ffffff,1487223927204
0.8138888888888889,0.5322222222222223,ffffff,1487223932793
0.7666666666666667,0.43666666666666665,ffffff,1487223932906
0.7659722222222223,0.43555555555555553,ffffff,1487223933026
0.7527777777777778,0.5355555555555556,000000,1487223935242
0.7159722222222222,0.4866666666666667,ffffff,1487223956619
0.7,0.4677777777777778,ffffff,1487223956738
0.6888888888888889,0.45555555555555555,ffffff,1487223956862
0.6868055555555556,0.4533333333333333,ffffff,1487223957173
0.6854166666666667,0.46111111111111114,ffffff,1487223964877
0.6840277777777778,0.47888888888888886,ffffff,1487223964992
0.6722222222222223,0.46111111111111114,ffffff,1487223965105
0.6597222222222222,0.4411111111111111,ffffff,1487223965222
0.6618055555555555,0.44333333333333336,ffffff,1487223965539
0.6638888888888889,0.4477777777777778,ffffff,1487223965649
0.6645833333333333,0.4488888888888889,ffffff,1487223965756
0.6756944444444445,0.45666666666666667,ffffff,1487223968023
0.6909722222222222,0.4711111111111111,ffffff,1487223968132
0.6979166666666666,0.47333333333333333,ffffff,1487223968245
0.7166666666666667,0.4688888888888889,ffffff,1487223968454
0.7173611111111111,0.4677777777777778,ffffff,1487223968566
0.71875,0.4622222222222222,ffffff,1487223968682
0.7201388888888889,0.4577777777777778,ffffff,1487223968789
0.7229166666666667,0.45555555555555555,ffffff,1487223968903
0.7243055555555555,0.5,000000,1487224044757
0.725,0.5033333333333333,ffffff,1487224044866
0.6826388888888889,0.5122222222222222,ffffff,1487224044975
0.5819444444444445,0.5488888888888889,ffffff,1487224045082
0.5645833333333333,0.54,ffffff,1487224045292
0.55,0.5277777777777778,ffffff,1487224045403
0.5513888888888889,0.53,ffffff,1487224045726
0.5583333333333333,0.6433333333333333,ffffff,1487224101594
0.5611111111111111,0.6622222222222223,cccccc,1487224101709
0.5506944444444445,0.5477777777777778,ffffff,1487224101822
0.55625,0.5388888888888889,ffffff,1487224101937
0.5569444444444445,0.5255555555555556,ffffee,1487224102050
0.5513888888888889,0.5022222222222222,ffffff,1487224102160
0.5506944444444445,0.4988888888888889,ffffff,1487224102269
0.5770833333333333,0.5044444444444445,000000,1487224103921
