x,y,c,t
0.6451388888888889,0.8311111111111111,7e97af,1487142409739
0.5666666666666667,0.8133333333333334,90a1b7,1487142409851
0.5145833333333333,0.5444444444444444,79bde1,1487142410164
0.42569444444444443,0.34555555555555556,0f214d,1487142410271
0.004166666666666667,0.38666666666666666,f0f0f0,1487142411401
0.009027777777777777,0.33111111111111113,414141,1487142411514
0.009722222222222222,0.30666666666666664,7b7b7b,1487142411621
0.013194444444444444,0.2733333333333333,24a061,1487142411728
0.014583333333333334,0.26222222222222225,f0f2f3,1487142411840
0.01597222222222222,0.29444444444444445,efefef,1487142412561
0.015277777777777777,0.36333333333333334,535353,1487142417589
0.0125,0.3566666666666667,74dc65,1487142417701
0.1638888888888889,0.3111111111111111,2c3539,1487142419557
0.4097222222222222,0.30666666666666664,6b6b6a,1487142419698
0.3645833333333333,0.3055555555555556,ffffff,1487142420141
0.2111111111111111,0.3188888888888889,eceded,1487142420271
0.16319444444444445,0.35555555555555557,5985ac,1487142420392
0.11736111111111111,0.3877777777777778,5d666a,1487142420512
0.10138888888888889,0.49,2c3539,1487142422053
0.08541666666666667,0.6211111111111111,2c3539,1487142422161
0.08472222222222223,0.6244444444444445,2c3539,1487142422269
0.08541666666666667,0.6588888888888889,2c3539,1487142423101
0.08680555555555555,0.67,d1d0d1,1487142423218
0.08819444444444445,0.6733333333333333,d1d0d1,1487142423332
0.08958333333333333,0.6755555555555556,2c3539,1487142423443
0.09027777777777778,0.7022222222222222,d1d0d1,1487142423652
0.09166666666666666,0.7211111111111111,cddce2,1487142423768
0.09444444444444444,0.7288888888888889,793086,1487142424182
0.09861111111111111,0.7233333333333334,5d666a,1487142424294
0.16319444444444445,0.6222222222222222,2c3539,1487142426287
0.3854166666666667,0.3655555555555556,ffffff,1487142426403
0.3923611111111111,0.35555555555555557,ffffff,1487142426525
0.5333333333333333,0.39444444444444443,ffffff,1487142428877
0.5847222222222223,0.43,ffffff,1487142428987
0.7041666666666667,0.4411111111111111,ffffff,1487142697747
0.7229166666666667,0.4622222222222222,ffffff,1487142697856
0.7298611111111111,0.47888888888888886,ffffff,1487142697964
0.004166666666666667,0.4722222222222222,f0f0f0,1487142703196
0.010416666666666666,0.5533333333333333,0773dd,1487142703307
0.011111111111111112,0.5688888888888889,bababa,1487142703519
0.013194444444444444,0.5788888888888889,f0f0f0,1487142703641
0.01597222222222222,0.5666666666666667,0e6dce,1487142703761
0.016666666666666666,0.56,b5b3b2,1487142703873
0.03819444444444445,0.5522222222222222,f0f0f0,1487142704195
0.5090277777777777,0.45444444444444443,ffffff,1487142704307
0.6263888888888889,0.4411111111111111,ffffff,1487142704439
0.5708333333333333,0.44666666666666666,ffffff,1487142710514
0.23333333333333334,0.4022222222222222,e9e9e9,1487142711445
0.6076388888888888,0.49777777777777776,ffffff,1487142711569
0.6465277777777778,0.49444444444444446,ffffff,1487142724339
0.7770833333333333,0.5755555555555556,ffffff,1487142824717
0.9652777777777778,0.6966666666666667,ffffff,1487142824833
0.9902777777777778,0.7022222222222222,758aa9,1487142824941
0.9944444444444445,0.7,7c92b1,1487142825048
0.9743055555555555,0.6444444444444445,ffffff,1487142825153
0.9659722222222222,0.6255555555555555,ffffff,1487142825267
0.9569444444444445,0.62,ffffff,1487142825481
0.8881944444444444,0.5822222222222222,ffffff,1487142825589
0.7798611111111111,0.5122222222222222,ffffff,1487142825906
0.7604166666666666,0.5055555555555555,ffffff,1487142826042
0.7423611111111111,0.4811111111111111,ffffff,1487142826590
0.6902777777777778,0.41333333333333333,ffffff,1487142826699
0.008333333333333333,0.3333333333333333,a2a2a2,1487142832867
0.010416666666666666,0.32666666666666666,a6a6a6,1487142832982
0.05625,0.43,344248,1487143043753
0.10416666666666667,0.4722222222222222,354349,1487143043911
0.11319444444444444,0.4711111111111111,2c3539,1487143044050
0.25625,0.48777777777777775,ffffff,1487143044365
0.4826388888888889,0.35333333333333333,ffffff,1487143044889
0.5284722222222222,0.3422222222222222,ffffff,1487143045007
0.5423611111111111,0.3233333333333333,ffffff,1487143045239
0.5409722222222222,0.29444444444444445,ffffff,1487143045978
0.5368055555555555,0.26555555555555554,ffffff,1487143046089
0.5333333333333333,0.2577777777777778,fff6cc,1487143046200
0.6340277777777777,0.8122222222222222,ffffff,1487143092119
0.6701388888888888,0.8366666666666667,ffffff,1487143092229
0.7118055555555556,0.8233333333333334,ffffff,1487143092345
0.7861111111111111,0.7577777777777778,ffffff,1487143092460
0.8263888888888888,0.6544444444444445,ffffff,1487143092568
0.7868055555555555,0.6244444444444445,ffffff,1487143092679
0.7951388888888888,0.6177777777777778,ffffff,1487144001075
0.7993055555555556,0.6111111111111112,ffffff,1487144001184
0.7513888888888889,0.5388888888888889,ffffff,1487144001906
0.6840277777777778,0.4488888888888889,ffffff,1487144002040
0.6597222222222222,0.41444444444444445,ffffff,1487144002173
0.6590277777777778,0.4088888888888889,ffffff,1487144002280
0.6583333333333333,0.36444444444444446,ffffff,1487144002492
0.6548611111111111,0.35444444444444445,ffffff,1487144003211
0.6465277777777778,0.34,ffffff,1487144003324
0.6444444444444445,0.3377777777777778,ffffff,1487144003436
0.7201388888888889,0.5244444444444445,ffffff,1487144314917
0.7715277777777778,0.56,ffffff,1487144315027
0.7993055555555556,0.5777777777777777,ffffff,1487144315136
0.8423611111111111,0.6088888888888889,ffffff,1487144315242
0.5645833333333333,0.9988888888888889,ffffff,1487155099029
0.29791666666666666,0.9488888888888889,414141,1487155099149
