x,y,c,t
0.6375,0.5311111111111111,b8d5e1,1486360115002
0.049305555555555554,0.6755555555555556,48a9da,1486360115116
0.013194444444444444,0.49333333333333335,dddddd,1486360117604
0.015277777777777777,0.4911111111111111,030303,1486360117716
0.018055555555555554,0.5588888888888889,f6f6f5,1486360118131
0.022222222222222223,0.6166666666666667,f0f0f0,1486360118240
0.022916666666666665,0.6233333333333333,f8f8f8,1486360118346
0.08263888888888889,0.4177777777777778,0a1638,1486360122261
0.14097222222222222,0.24666666666666667,fefefe,1486360122399
0.15069444444444444,0.21444444444444444,fefefe,1486360122636
0.1701388888888889,0.17222222222222222,fefefe,1486360122739
0.23680555555555555,0.14444444444444443,f4f4f4,1486360122845
0.2625,0.13333333333333333,fefefe,1486360122952
0.3229166666666667,0.11888888888888889,d1d0d1,1486360125103
0.4465277777777778,0.10222222222222223,d1d0d1,1486360125213
0.5090277777777777,0.07555555555555556,b4b3b6,1486360125643
0.5541666666666667,0.04888888888888889,aeaeae,1486360125762
0.6895833333333333,0.012222222222222223,0c0b0c,1486360126988
0.6819444444444445,0.0811111111111111,d1d0d1,1486360127200
0.6798611111111111,0.2611111111111111,ffffff,1486360127333
0.69375,0.27,95b5db,1486360127463
0.6569444444444444,0.26666666666666666,fbfbfb,1486360127567
0.6375,0.2577777777777778,ffffff,1486360127670
0.6284722222222222,0.2544444444444444,ffffff,1486360127774
0.6180555555555556,0.2477777777777778,ffffff,1486360127984
0.6152777777777778,0.2411111111111111,ffffff,1486360128089
0.6138888888888889,0.2388888888888889,ffffff,1486360128196
0.6131944444444445,0.23666666666666666,ffffff,1486360128299
0.3229166666666667,0.2511111111111111,060b25,1486360132405
0.0020833333333333333,0.3977777777777778,f0f0f0,1486360133238
0.004166666666666667,0.37333333333333335,f0f0f0,1486360133351
0.006944444444444444,0.37333333333333335,ecebeb,1486360133562
0.009722222222222222,0.39222222222222225,f0f0f0,1486360133672
0.010416666666666666,0.3933333333333333,f0f0f0,1486360133783
0.011805555555555555,0.4166666666666667,afc8a9,1486360133893
0.015277777777777777,0.4722222222222222,262626,1486360134003
0.014583333333333334,0.5088888888888888,a3c6f3,1486360134213
0.05,0.5733333333333334,e9ebed,1486360144389
0.08402777777777778,0.6077777777777778,ffffff,1486360144503
0.09722222222222222,0.6677777777777778,ffffff,1486360146469
0.12152777777777778,0.7777777777777778,eeeeee,1486360146580
0.13194444444444445,0.8211111111111111,ffffff,1486360146689
0.14166666666666666,0.8244444444444444,ffffff,1486360146797
0.15625,0.7522222222222222,eeeeee,1486360146901
0.1875,0.5677777777777778,ffffff,1486360147010
0.21180555555555555,0.49777777777777776,ffffff,1486360147119
0.2263888888888889,0.45666666666666667,ffffff,1486360147223
0.23472222222222222,0.44222222222222224,ffffff,1486360147332
0.23402777777777778,0.44333333333333336,ffffff,1486360147646
0.23333333333333334,0.44555555555555554,ffffff,1486360149917
0.22847222222222222,0.45666666666666667,ffffff,1486360150022
0.22291666666666668,0.4722222222222222,ffffff,1486360150140
0.22152777777777777,0.4811111111111111,0b5d9a,1486360150257
0.22083333333333333,0.51,ffffff,1486360150370
0.21944444444444444,0.5566666666666666,ffffff,1486360150483
0.22083333333333333,0.5644444444444444,e5e5e5,1486360153757
0.20972222222222223,0.5266666666666666,f2f2f2,1486360154366
0.13055555555555556,0.30333333333333334,f2f2f2,1486360154480
0.42291666666666666,0.29777777777777775,f5f5f5,1486360154697
0.7840277777777778,0.45444444444444443,ffffff,1486360154807
0.7972222222222223,0.4633333333333333,ffffff,1486360154926
0.8576388888888888,0.6744444444444444,ffffff,1486360155136
0.9298611111111111,0.8322222222222222,ffffff,1486360155241
0.9326388888888889,0.8155555555555556,ffffff,1486360155452
0.9215277777777777,0.7033333333333334,ffffff,1486360155559
0.9194444444444444,0.6922222222222222,ffffff,1486360155665
0.9131944444444444,0.6588888888888889,ffffff,1486360155769
0.9125,0.65,ffffff,1486360155875
0.9131944444444444,0.6577777777777778,ffffff,1486360156083
0.9152777777777777,0.6633333333333333,ffffff,1486360156192
0.9166666666666666,0.67,188ec5,1486360156821
0.8006944444444445,0.5911111111111111,ffffff,1486360157040
0.34097222222222223,0.43777777777777777,ffffff,1486360157153
0.2923611111111111,0.4622222222222222,f3f3f3,1486360157262
0.2777777777777778,0.4711111111111111,eeeeef,1486360157572
0.24930555555555556,0.47888888888888886,ffffff,1486360157676
0.23541666666666666,0.47555555555555556,b9b9b9,1486360157792
0.2013888888888889,0.48,f2f2f2,1486360157905
0.17569444444444443,0.5088888888888888,e9e9e9,1486360158009
0.1673611111111111,0.52,e5e5e5,1486360158120
0.175,0.5644444444444444,f2f2f2,1486360159467
0.18263888888888888,0.5555555555555556,f0f0f0,1486360160299
0.18541666666666667,0.5522222222222222,e5e5e5,1486360160417
0.21458333333333332,0.5622222222222222,f2f2f2,1486360162383
0.38263888888888886,0.5566666666666666,ffffff,1486360162490
0.4423611111111111,0.5433333333333333,ffffff,1486360162599
0.4583333333333333,0.5355555555555556,ffffff,1486360162705
0.47152777777777777,0.5244444444444445,ffffff,1486360162813
0.41180555555555554,0.5266666666666666,ffffff,1486360164051
0.21805555555555556,0.5533333333333333,f2f2f2,1486360164160
0.13125,0.59,e7e7e7,1486360164277
0.12986111111111112,0.5911111111111111,e5e5e5,1486360164393
0.15208333333333332,0.5033333333333333,f2f2f2,1486360166964
0.2263888888888889,0.29444444444444445,f2f2f2,1486360167074
0.2923611111111111,0.22333333333333333,d6d6d6,1486360167179
0.3590277777777778,0.20222222222222222,fafafa,1486360167285
0.38055555555555554,0.21222222222222223,fafafa,1486360167393
0.3909722222222222,0.21,fafafa,1486360167498
0.41875,0.12555555555555556,fafafa,1486360167606
0.43194444444444446,0.11666666666666667,fafafa,1486360167710
0.4326388888888889,0.08222222222222222,d5d3d5,1486360168434
0.4340277777777778,0.07888888888888888,d7d5d7,1486360168543
0.4375,0.06777777777777778,dad7da,1486360168651
0.4409722222222222,0.057777777777777775,fcfcfc,1486360168763
0.4423611111111111,0.05555555555555555,fcfcfc,1486360168874
0.44722222222222224,0.06555555555555556,a4a3a4,1486360173387
0.46805555555555556,0.07888888888888888,a09fa0,1486360173495
0.40069444444444446,0.05555555555555555,f6f6f6,1486360173707
0.24722222222222223,0.1322222222222222,fc6621,1486360173814
0.25972222222222224,0.12555555555555556,fc6621,1486360174543
0.2986111111111111,0.12111111111111111,fc6621,1486360174652
0.3111111111111111,0.11888888888888889,000000,1486360174757
0.32222222222222224,0.11444444444444445,fc6621,1486360174864
0.33611111111111114,0.11333333333333333,fc6621,1486360174973
0.3527777777777778,0.11777777777777777,f46320,1486360175185
0.3590277777777778,0.11888888888888889,fc6621,1486360175310
0.36527777777777776,0.12222222222222222,fc6621,1486360175432
0.3402777777777778,0.1622222222222222,f6f6ef,1486360177074
0.19930555555555557,0.3333333333333333,f6f6ef,1486360177181
0.14166666666666666,0.42444444444444446,ffffff,1486360177287
0.13680555555555557,0.43333333333333335,ffffff,1486360177392
0.1284722222222222,0.44333333333333336,ffffff,1486360177497
0.125,0.4411111111111111,ffffff,1486360177606
0.1527777777777778,0.3511111111111111,f6f6ef,1486360184062
0.18333333333333332,0.28888888888888886,deded8,1486360184166
0.17916666666666667,0.2866666666666667,f6f6ef,1486360184277
0.21458333333333332,0.2544444444444444,f6f6ef,1486360184593
0.32430555555555557,0.2088888888888889,f6f6ef,1486360184700
0.3416666666666667,0.20444444444444446,f6f6ef,1486360184804
0.35625,0.18444444444444444,f6f6ef,1486360185018
0.44513888888888886,0.11666666666666667,fc6621,1486360185126
0.47152777777777777,0.09888888888888889,ffffff,1486360185230
0.48680555555555555,0.07777777777777778,a1a0a1,1486360185336
0.4986111111111111,0.05555555555555555,000000,1486360185445
0.5,0.05444444444444444,000000,1486360185553
0.5083333333333333,0.07444444444444444,a1a0a1,1486360195180
0.6020833333333333,0.10777777777777778,ffffff,1486360195288
0.8138888888888889,0.2922222222222222,0724fb,1486360195397
0.8173611111111111,0.2833333333333333,ffffff,1486360195706
0.8333333333333334,0.1922222222222222,0724fb,1486360195815
0.8493055555555555,0.08555555555555555,9e9d9e,1486360195923
0.8486111111111111,0.09444444444444444,9c9b9c,1486360196032
0.8409722222222222,0.12111111111111111,794224,1486360196140
0.8368055555555556,0.1288888888888889,6c301e,1486360196250
0.8319444444444445,0.16,ffffff,1486360197496
0.8118055555555556,0.27666666666666667,0b24fb,1486360197604
0.8097222222222222,0.32555555555555554,0b24fb,1486360197708
0.8090277777777778,0.2822222222222222,0b24fb,1486360201216
0.8097222222222222,0.22777777777777777,0b24fb,1486360201333
0.8159722222222222,0.2011111111111111,0b24fb,1486360201451
0.8229166666666666,0.16111111111111112,feffff,1486360201565
0.8243055555555555,0.15666666666666668,ffffff,1486360201674
0.8263888888888888,0.19444444444444445,0b24fb,1486360201886
0.8222222222222222,0.29,ffffff,1486360201991
0.8166666666666667,0.3788888888888889,0b24fb,1486360202100
0.8118055555555556,0.4388888888888889,ffffff,1486360202208
0.6284722222222222,0.4022222222222222,ffffff,1486360204271
0.5555555555555556,0.4033333333333333,ffffff,1486360206434
0.5597222222222222,0.4122222222222222,ffffff,1486360206543
0.5604166666666667,0.41333333333333333,ffffff,1486360206652
0.42986111111111114,0.33,ffffff,1486360207069
0.35694444444444445,0.28,ffffff,1486360207176
0.3486111111111111,0.2733333333333333,ffffff,1486360207281
0.3402777777777778,0.25333333333333335,ffffff,1486360207695
0.2652777777777778,0.15444444444444444,171717,1486360207801
0.24097222222222223,0.12555555555555556,ffffff,1486360207907
0.23958333333333334,0.12333333333333334,14171a,1486360208014
0.3215277777777778,0.24444444444444444,ffffff,1486360211628
0.6256944444444444,0.4911111111111111,ffffff,1486360211733
0.6729166666666667,0.4988888888888889,ffffff,1486360211841
0.6527777777777778,0.49333333333333335,ffffff,1486360212258
0.6513888888888889,0.4922222222222222,ffffff,1486360212365
0.6506944444444445,0.4911111111111111,ffffff,1486360212473
0.6215277777777778,0.45,ffffff,1486360218937
0.4131944444444444,0.2877777777777778,ffffff,1486360219047
0.31180555555555556,0.22111111111111112,ffffff,1486360219155
0.29791666666666666,0.19555555555555557,131514,1486360219263
0.2791666666666667,0.14888888888888888,2aa3ef,1486360219367
0.2743055555555556,0.13444444444444445,ffffff,1486360219477
0.2673611111111111,0.1322222222222222,ffffff,1486360219685
0.25763888888888886,0.12444444444444444,ffffff,1486360219791
0.25416666666666665,0.12333333333333334,ffffff,1486360219894
0.3145833333333333,0.19555555555555557,181818,1486360220420
0.4625,0.3377777777777778,ffffff,1486360220533
0.4895833333333333,0.3611111111111111,ffffff,1486360220638
0.4875,0.36,ffffff,1486360230739
0.40555555555555556,0.23333333333333334,ffffff,1486360230846
0.36527777777777776,0.17222222222222222,1f1f1f,1486360230952
0.3145833333333333,0.11555555555555555,ffffff,1486360231057
0.3076388888888889,0.11333333333333333,ffffff,1486360231164
0.2722222222222222,0.11444444444444445,ffffff,1486360231573
0.2708333333333333,0.11555555555555555,ffffff,1486360231683
0.26875,0.11666666666666667,ffffff,1486360231790
0.2604166666666667,0.12222222222222222,14171a,1486360231901
0.2673611111111111,0.14666666666666667,2aa3ef,1486360235706
0.3951388888888889,0.3088888888888889,ffffff,1486360235819
